,date,Weekly_Count,Site Name
0,2018-10-07,28,MLO-050 : MLO - Portland
1,2018-10-14,14,MLO-050 : MLO - Portland
2,2018-10-21,19,MLO-050 : MLO - Portland
3,2018-10-28,27,MLO-050 : MLO - Portland
4,2018-11-04,22,MLO-050 : MLO - Portland
5,2018-11-11,32,MLO-050 : MLO - Portland
6,2018-11-18,31,MLO-050 : MLO - Portland
7,2018-11-25,46,MLO-050 : MLO - Portland
8,2018-12-02,40,MLO-050 : MLO - Portland
9,2018-12-09,50,MLO-050 : MLO - Portland
10,2018-12-16,55,MLO-050 : MLO - Portland
11,2018-12-23,35,MLO-050 : MLO - Portland
12,2018-12-30,15,MLO-050 : MLO - Portland
13,2019-01-06,27,MLO-050 : MLO - Portland
14,2019-01-13,45,MLO-050 : MLO - Portland
15,2019-01-20,10,MLO-050 : MLO - Portland
16,2019-01-27,9,MLO-050 : MLO - Portland
17,2019-02-03,9,MLO-050 : MLO - Portland
18,2019-02-10,12,MLO-050 : MLO - Portland
19,2019-02-17,16,MLO-050 : MLO - Portland
20,2019-02-24,8,MLO-050 : MLO - Portland
21,2019-03-03,14,MLO-050 : MLO - Portland
22,2019-03-10,4,MLO-050 : MLO - Portland
23,2019-03-17,10,MLO-050 : MLO - Portland
24,2019-03-24,7,MLO-050 : MLO - Portland
25,2019-03-31,13,MLO-050 : MLO - Portland
26,2019-04-07,9,MLO-050 : MLO - Portland
27,2019-04-14,8,MLO-050 : MLO - Portland
28,2019-04-21,12,MLO-050 : MLO - Portland
29,2019-04-28,16,MLO-050 : MLO - Portland
30,2019-05-05,12,MLO-050 : MLO - Portland
31,2019-05-12,16,MLO-050 : MLO - Portland
32,2019-05-19,7,MLO-050 : MLO - Portland
33,2019-05-26,4,MLO-050 : MLO - Portland
34,2019-06-02,4,MLO-050 : MLO - Portland
35,2019-06-09,10,MLO-050 : MLO - Portland
36,2019-06-16,4,MLO-050 : MLO - Portland
37,2019-06-23,5,MLO-050 : MLO - Portland
38,2019-06-30,3,MLO-050 : MLO - Portland
39,2019-07-07,12,MLO-050 : MLO - Portland
40,2019-07-14,5,MLO-050 : MLO - Portland
41,2019-07-21,11,MLO-050 : MLO - Portland
42,2019-07-28,9,MLO-050 : MLO - Portland
43,2019-08-04,6,MLO-050 : MLO - Portland
44,2019-08-11,3,MLO-050 : MLO - Portland
45,2019-08-18,12,MLO-050 : MLO - Portland
46,2019-08-25,14,MLO-050 : MLO - Portland
47,2019-09-01,17,MLO-050 : MLO - Portland
48,2019-09-08,8,MLO-050 : MLO - Portland
49,2019-09-15,12,MLO-050 : MLO - Portland
50,2019-09-22,12,MLO-050 : MLO - Portland
51,2019-09-29,16,MLO-050 : MLO - Portland
