,date,Weekly_Count,Site Name
0,2018-10-07,39,MLO-869 : MLO - Tulsa
1,2018-10-14,25,MLO-869 : MLO - Tulsa
2,2018-10-21,28,MLO-869 : MLO - Tulsa
3,2018-10-28,31,MLO-869 : MLO - Tulsa
4,2018-11-04,31,MLO-869 : MLO - Tulsa
5,2018-11-11,23,MLO-869 : MLO - Tulsa
6,2018-11-18,24,MLO-869 : MLO - Tulsa
7,2018-11-25,49,MLO-869 : MLO - Tulsa
8,2018-12-02,36,MLO-869 : MLO - Tulsa
9,2018-12-09,41,MLO-869 : MLO - Tulsa
10,2018-12-16,31,MLO-869 : MLO - Tulsa
11,2018-12-23,32,MLO-869 : MLO - Tulsa
12,2018-12-30,38,MLO-869 : MLO - Tulsa
13,2019-01-06,26,MLO-869 : MLO - Tulsa
14,2019-01-13,57,MLO-869 : MLO - Tulsa
15,2019-01-20,21,MLO-869 : MLO - Tulsa
16,2019-01-27,26,MLO-869 : MLO - Tulsa
17,2019-02-03,15,MLO-869 : MLO - Tulsa
18,2019-02-10,16,MLO-869 : MLO - Tulsa
19,2019-02-17,8,MLO-869 : MLO - Tulsa
20,2019-02-24,18,MLO-869 : MLO - Tulsa
21,2019-03-03,14,MLO-869 : MLO - Tulsa
22,2019-03-10,31,MLO-869 : MLO - Tulsa
23,2019-03-17,21,MLO-869 : MLO - Tulsa
24,2019-03-24,28,MLO-869 : MLO - Tulsa
25,2019-03-31,28,MLO-869 : MLO - Tulsa
26,2019-04-07,28,MLO-869 : MLO - Tulsa
27,2019-04-14,12,MLO-869 : MLO - Tulsa
28,2019-04-21,24,MLO-869 : MLO - Tulsa
29,2019-04-28,18,MLO-869 : MLO - Tulsa
30,2019-05-05,23,MLO-869 : MLO - Tulsa
31,2019-05-12,7,MLO-869 : MLO - Tulsa
32,2019-05-19,10,MLO-869 : MLO - Tulsa
33,2019-05-26,16,MLO-869 : MLO - Tulsa
34,2019-06-02,18,MLO-869 : MLO - Tulsa
35,2019-06-09,16,MLO-869 : MLO - Tulsa
36,2019-06-16,10,MLO-869 : MLO - Tulsa
37,2019-06-23,12,MLO-869 : MLO - Tulsa
38,2019-06-30,10,MLO-869 : MLO - Tulsa
39,2019-07-07,4,MLO-869 : MLO - Tulsa
40,2019-07-14,13,MLO-869 : MLO - Tulsa
41,2019-07-21,7,MLO-869 : MLO - Tulsa
42,2019-07-28,8,MLO-869 : MLO - Tulsa
43,2019-08-04,7,MLO-869 : MLO - Tulsa
44,2019-08-11,14,MLO-869 : MLO - Tulsa
45,2019-08-18,18,MLO-869 : MLO - Tulsa
46,2019-08-25,17,MLO-869 : MLO - Tulsa
47,2019-09-01,23,MLO-869 : MLO - Tulsa
48,2019-09-08,16,MLO-869 : MLO - Tulsa
49,2019-09-15,18,MLO-869 : MLO - Tulsa
50,2019-09-22,19,MLO-869 : MLO - Tulsa
51,2019-09-29,5,MLO-869 : MLO - Tulsa
52,2019-10-06,20,MLO-869 : MLO - Tulsa
53,2019-10-13,22,MLO-869 : MLO - Tulsa
54,2019-10-20,34,MLO-869 : MLO - Tulsa
55,2019-10-27,44,MLO-869 : MLO - Tulsa
56,2019-11-03,31,MLO-869 : MLO - Tulsa
57,2019-11-10,22,MLO-869 : MLO - Tulsa
58,2019-11-17,27,MLO-869 : MLO - Tulsa
59,2019-11-24,23,MLO-869 : MLO - Tulsa
60,2019-12-01,48,MLO-869 : MLO - Tulsa
61,2019-12-08,39,MLO-869 : MLO - Tulsa
62,2019-12-15,34,MLO-869 : MLO - Tulsa
63,2019-12-22,22,MLO-869 : MLO - Tulsa
64,2019-12-29,15,MLO-869 : MLO - Tulsa
65,2020-01-05,23,MLO-869 : MLO - Tulsa
66,2020-01-12,30,MLO-869 : MLO - Tulsa
67,2020-01-19,14,MLO-869 : MLO - Tulsa
68,2020-01-26,16,MLO-869 : MLO - Tulsa
69,2020-02-02,13,MLO-869 : MLO - Tulsa
70,2020-02-09,12,MLO-869 : MLO - Tulsa
71,2020-02-16,21,MLO-869 : MLO - Tulsa
72,2020-02-23,15,MLO-869 : MLO - Tulsa
73,2020-03-01,13,MLO-869 : MLO - Tulsa
74,2020-03-08,12,MLO-869 : MLO - Tulsa
75,2020-03-15,18,MLO-869 : MLO - Tulsa
76,2020-03-22,9,MLO-869 : MLO - Tulsa
77,2020-03-29,12,MLO-869 : MLO - Tulsa
78,2020-04-05,10,MLO-869 : MLO - Tulsa
79,2020-04-12,11,MLO-869 : MLO - Tulsa
80,2020-04-19,12,MLO-869 : MLO - Tulsa
81,2020-04-26,8,MLO-869 : MLO - Tulsa
82,2020-05-03,12,MLO-869 : MLO - Tulsa
83,2020-05-10,12,MLO-869 : MLO - Tulsa
84,2020-05-17,6,MLO-869 : MLO - Tulsa
85,2020-05-24,10,MLO-869 : MLO - Tulsa
86,2020-05-31,9,MLO-869 : MLO - Tulsa
87,2020-06-07,10,MLO-869 : MLO - Tulsa
88,2020-06-14,4,MLO-869 : MLO - Tulsa
89,2020-06-21,8,MLO-869 : MLO - Tulsa
90,2020-06-28,12,MLO-869 : MLO - Tulsa
91,2020-07-05,3,MLO-869 : MLO - Tulsa
92,2020-07-12,11,MLO-869 : MLO - Tulsa
93,2020-07-19,4,MLO-869 : MLO - Tulsa
94,2020-07-26,8,MLO-869 : MLO - Tulsa
95,2020-08-02,5,MLO-869 : MLO - Tulsa
96,2020-08-09,12,MLO-869 : MLO - Tulsa
97,2020-08-16,7,MLO-869 : MLO - Tulsa
98,2020-08-23,10,MLO-869 : MLO - Tulsa
99,2020-08-30,4,MLO-869 : MLO - Tulsa
100,2020-09-06,8,MLO-869 : MLO - Tulsa
101,2020-09-13,3,MLO-869 : MLO - Tulsa
102,2020-09-20,13,MLO-869 : MLO - Tulsa
103,2020-09-27,10,MLO-869 : MLO - Tulsa
104,2020-10-04,8,MLO-869 : MLO - Tulsa
105,2020-10-11,20,MLO-869 : MLO - Tulsa
106,2020-10-18,24,MLO-869 : MLO - Tulsa
107,2020-10-25,22,MLO-869 : MLO - Tulsa
108,2020-11-01,22,MLO-869 : MLO - Tulsa
109,2020-11-08,10,MLO-869 : MLO - Tulsa
110,2020-11-15,15,MLO-869 : MLO - Tulsa
111,2020-11-22,23,MLO-869 : MLO - Tulsa
112,2020-11-29,20,MLO-869 : MLO - Tulsa
113,2020-12-06,15,MLO-869 : MLO - Tulsa
114,2020-12-13,26,MLO-869 : MLO - Tulsa
