date,Application Function,count
2019-09-30,WMS MA,3
2019-10-01,WMS MA,4
2019-10-02,WMS MA,4
2019-10-03,WMS MA,0
2019-10-04,WMS MA,2
2019-10-05,WMS MA,4
2019-10-06,WMS MA,2
2019-10-07,WMS MA,0
2019-10-08,WMS MA,12
2019-10-09,WMS MA,4
2019-10-10,WMS MA,8
2019-10-11,WMS MA,0
2019-10-12,WMS MA,0
2019-10-13,WMS MA,0
2019-10-14,WMS MA,2
2019-10-15,WMS MA,2
2019-10-16,WMS MA,0
2019-10-17,WMS MA,6
2019-10-18,WMS MA,6
2019-10-19,WMS MA,4
2019-10-20,WMS MA,6
2019-10-21,WMS MA,8
2019-10-22,WMS MA,8
2019-10-23,WMS MA,2
2019-10-24,WMS MA,0
2019-10-25,WMS MA,12
2019-10-26,WMS MA,0
2019-10-27,WMS MA,6
2019-10-28,WMS MA,6
2019-10-29,WMS MA,18
2019-10-30,WMS MA,6
2019-10-31,WMS MA,4
2019-11-01,WMS MA,0
2019-11-02,WMS MA,4
2019-11-03,WMS MA,1
2019-11-04,WMS MA,3
2019-11-05,WMS MA,1
2019-11-06,WMS MA,6
2019-11-07,WMS MA,2
2019-11-08,WMS MA,3
2019-11-09,WMS MA,3
2019-11-10,WMS MA,0
2019-11-11,WMS MA,4
2019-11-12,WMS MA,1
2019-11-13,WMS MA,4
2019-11-14,WMS MA,1
2019-11-15,WMS MA,2
2019-11-16,WMS MA,0
2019-11-17,WMS MA,1
2019-11-18,WMS MA,0
2019-11-19,WMS MA,0
2019-11-20,WMS MA,3
2019-11-21,WMS MA,2
2019-11-22,WMS MA,3
2019-11-23,WMS MA,0
2019-11-24,WMS MA,2
2019-11-25,WMS MA,0
2019-11-26,WMS MA,7
2019-11-27,WMS MA,6
2019-11-28,WMS MA,2
2019-11-29,WMS MA,2
2019-11-30,WMS MA,4
2019-12-01,WMS MA,1
2019-12-02,WMS MA,8
2019-12-03,WMS MA,10
2019-12-04,WMS MA,4
2019-12-05,WMS MA,6
2019-12-06,WMS MA,3
2019-12-07,WMS MA,1
2019-12-08,WMS MA,6
2019-12-09,WMS MA,1
2019-12-10,WMS MA,6
2019-12-11,WMS MA,2
2019-12-12,WMS MA,4
2019-12-13,WMS MA,4
2019-12-14,WMS MA,2
2019-12-15,WMS MA,2
2019-12-16,WMS MA,2
2019-12-17,WMS MA,4
2019-12-18,WMS MA,2
2019-12-19,WMS MA,4
2019-12-20,WMS MA,2
2019-12-21,WMS MA,1
2019-12-22,WMS MA,3
2019-12-23,WMS MA,4
2019-12-24,WMS MA,1
2019-12-25,WMS MA,0
2019-12-26,WMS MA,3
2019-12-27,WMS MA,2
2019-12-28,WMS MA,3
2019-12-29,WMS MA,1
2019-12-30,WMS MA,5
2019-12-31,WMS MA,5
2020-01-01,WMS MA,1
2020-01-02,WMS MA,3
2020-01-03,WMS MA,11
2020-01-04,WMS MA,3
2020-01-05,WMS MA,3
2020-01-06,WMS MA,8
2020-01-07,WMS MA,11
2020-01-08,WMS MA,11
2020-01-09,WMS MA,6
2020-01-10,WMS MA,10
2020-01-11,WMS MA,24
2020-01-12,WMS MA,0
2020-01-13,WMS MA,1
2020-01-14,WMS MA,1
2020-01-15,WMS MA,3
2020-01-16,WMS MA,4
2020-01-17,WMS MA,2
2020-01-18,WMS MA,0
2020-01-19,WMS MA,0
2020-01-20,WMS MA,0
2020-01-21,WMS MA,3
2020-01-22,WMS MA,1
2020-01-23,WMS MA,0
2020-01-24,WMS MA,2
2020-01-25,WMS MA,2
2020-01-26,WMS MA,1
2020-01-27,WMS MA,2
2020-01-28,WMS MA,4
2020-01-29,WMS MA,5
2020-01-30,WMS MA,2
2020-01-31,WMS MA,1
2020-02-01,WMS MA,2
2020-02-02,WMS MA,3
2020-02-03,WMS MA,2
2020-02-04,WMS MA,0
2020-02-05,WMS MA,3
2020-02-06,WMS MA,1
2020-02-07,WMS MA,3
2020-02-08,WMS MA,4
2020-02-09,WMS MA,1
2020-02-10,WMS MA,3
2020-02-11,WMS MA,12
2020-02-12,WMS MA,6
2020-02-13,WMS MA,6
2020-02-14,WMS MA,4
2020-02-15,WMS MA,3
2020-02-16,WMS MA,2
2020-02-17,WMS MA,5
2020-02-18,WMS MA,8
2020-02-19,WMS MA,2
2020-02-20,WMS MA,1
2020-02-21,WMS MA,0
2020-02-22,WMS MA,6
2020-02-23,WMS MA,2
2020-02-24,WMS MA,5
2020-02-25,WMS MA,2
2020-02-26,WMS MA,7
2020-02-27,WMS MA,1
2020-02-28,WMS MA,0
2020-02-29,WMS MA,5
2020-03-01,WMS MA,0
2020-03-02,WMS MA,2
2020-03-03,WMS MA,5
2020-03-04,WMS MA,6
2020-03-05,WMS MA,6
2020-03-06,WMS MA,2
2020-03-07,WMS MA,2
2020-03-08,WMS MA,4
2020-03-09,WMS MA,2
2020-03-10,WMS MA,3
2020-03-11,WMS MA,2
2020-03-12,WMS MA,3
2020-03-13,WMS MA,0
2020-03-14,WMS MA,0
2020-03-15,WMS MA,1
2020-03-16,WMS MA,1
2020-03-17,WMS MA,2
2020-03-18,WMS MA,2
2020-03-19,WMS MA,5
2020-03-20,WMS MA,1
2020-03-21,WMS MA,0
2020-03-22,WMS MA,0
2020-03-23,WMS MA,4
2020-03-24,WMS MA,5
2020-03-25,WMS MA,7
2020-03-26,WMS MA,4
2020-03-27,WMS MA,3
2020-03-28,WMS MA,2
2020-03-29,WMS MA,2
2020-03-30,WMS MA,6
2020-03-31,WMS MA,6
2020-04-01,WMS MA,5
2020-04-02,WMS MA,2
2020-04-03,WMS MA,3
2020-04-04,WMS MA,3
2020-04-05,WMS MA,1
2020-04-06,WMS MA,2
2020-04-07,WMS MA,3
2020-04-08,WMS MA,6
2020-04-09,WMS MA,0
2020-04-10,WMS MA,0
2020-04-11,WMS MA,0
2020-04-12,WMS MA,3
2020-04-13,WMS MA,0
2020-04-14,WMS MA,3
2020-04-15,WMS MA,0
2020-04-16,WMS MA,3
2020-04-17,WMS MA,3
2020-04-18,WMS MA,2
2020-04-19,WMS MA,0
2020-04-20,WMS MA,7
2020-04-21,WMS MA,8
2020-04-22,WMS MA,4
2020-04-23,WMS MA,1
2020-04-24,WMS MA,3
2020-04-25,WMS MA,1
2020-04-26,WMS MA,3
2020-04-27,WMS MA,0
2020-04-28,WMS MA,3
2020-04-29,WMS MA,2
2020-04-30,WMS MA,3
2020-05-01,WMS MA,2
2020-05-02,WMS MA,1
2020-05-03,WMS MA,0
2020-05-04,WMS MA,0
2020-05-05,WMS MA,7
2020-05-06,WMS MA,1
2020-05-07,WMS MA,1
2020-05-08,WMS MA,0
2020-05-09,WMS MA,1
2020-05-10,WMS MA,0
2020-05-11,WMS MA,2
2020-05-12,WMS MA,2
2020-05-13,WMS MA,0
2020-05-14,WMS MA,3
2020-05-15,WMS MA,0
2020-05-16,WMS MA,0
2020-05-17,WMS MA,0
2020-05-18,WMS MA,1
2020-05-19,WMS MA,0
2020-05-20,WMS MA,0
2020-05-21,WMS MA,0
2020-05-22,WMS MA,0
2020-05-23,WMS MA,0
2020-05-24,WMS MA,0
2020-05-25,WMS MA,1
2020-05-26,WMS MA,0
2020-05-27,WMS MA,3
2020-05-28,WMS MA,7
2020-05-29,WMS MA,0
2020-05-30,WMS MA,1
2020-05-31,WMS MA,3
2020-06-01,WMS MA,2
2020-06-02,WMS MA,3
2020-06-03,WMS MA,0
2020-06-04,WMS MA,3
2020-06-05,WMS MA,1
2020-06-06,WMS MA,0
2020-06-07,WMS MA,0
2020-06-08,WMS MA,0
2020-06-09,WMS MA,1
2020-06-10,WMS MA,0
2020-06-11,WMS MA,3
2020-06-12,WMS MA,0
2020-06-13,WMS MA,0
2020-06-14,WMS MA,0
2020-06-15,WMS MA,0
2020-06-16,WMS MA,2
2020-06-17,WMS MA,2
2020-06-18,WMS MA,0
2020-06-19,WMS MA,0
2020-06-20,WMS MA,0
2020-06-21,WMS MA,1
2020-06-22,WMS MA,1
2020-06-23,WMS MA,2
