,date,Weekly_Count,Site Name
0,2018-10-07,20,MLO-043 : MLO - West Virginia
1,2018-10-14,39,MLO-043 : MLO - West Virginia
2,2018-10-21,28,MLO-043 : MLO - West Virginia
3,2018-10-28,29,MLO-043 : MLO - West Virginia
4,2018-11-04,29,MLO-043 : MLO - West Virginia
5,2018-11-11,28,MLO-043 : MLO - West Virginia
6,2018-11-18,27,MLO-043 : MLO - West Virginia
7,2018-11-25,42,MLO-043 : MLO - West Virginia
8,2018-12-02,61,MLO-043 : MLO - West Virginia
9,2018-12-09,49,MLO-043 : MLO - West Virginia
10,2018-12-16,24,MLO-043 : MLO - West Virginia
11,2018-12-23,29,MLO-043 : MLO - West Virginia
12,2018-12-30,20,MLO-043 : MLO - West Virginia
13,2019-01-06,22,MLO-043 : MLO - West Virginia
14,2019-01-13,30,MLO-043 : MLO - West Virginia
15,2019-01-20,9,MLO-043 : MLO - West Virginia
16,2019-01-27,9,MLO-043 : MLO - West Virginia
17,2019-02-03,11,MLO-043 : MLO - West Virginia
18,2019-02-10,17,MLO-043 : MLO - West Virginia
19,2019-02-17,10,MLO-043 : MLO - West Virginia
20,2019-02-24,6,MLO-043 : MLO - West Virginia
21,2019-03-03,10,MLO-043 : MLO - West Virginia
22,2019-03-10,16,MLO-043 : MLO - West Virginia
23,2019-03-17,11,MLO-043 : MLO - West Virginia
24,2019-03-24,27,MLO-043 : MLO - West Virginia
25,2019-03-31,21,MLO-043 : MLO - West Virginia
26,2019-04-07,19,MLO-043 : MLO - West Virginia
27,2019-04-14,19,MLO-043 : MLO - West Virginia
28,2019-04-21,18,MLO-043 : MLO - West Virginia
29,2019-04-28,21,MLO-043 : MLO - West Virginia
30,2019-05-05,33,MLO-043 : MLO - West Virginia
31,2019-05-12,24,MLO-043 : MLO - West Virginia
32,2019-05-19,6,MLO-043 : MLO - West Virginia
33,2019-05-26,10,MLO-043 : MLO - West Virginia
34,2019-06-02,17,MLO-043 : MLO - West Virginia
35,2019-06-09,14,MLO-043 : MLO - West Virginia
36,2019-06-16,18,MLO-043 : MLO - West Virginia
37,2019-06-23,13,MLO-043 : MLO - West Virginia
38,2019-06-30,18,MLO-043 : MLO - West Virginia
39,2019-07-07,9,MLO-043 : MLO - West Virginia
40,2019-07-14,20,MLO-043 : MLO - West Virginia
41,2019-07-21,16,MLO-043 : MLO - West Virginia
42,2019-07-28,21,MLO-043 : MLO - West Virginia
43,2019-08-04,21,MLO-043 : MLO - West Virginia
44,2019-08-11,16,MLO-043 : MLO - West Virginia
45,2019-08-18,17,MLO-043 : MLO - West Virginia
46,2019-08-25,15,MLO-043 : MLO - West Virginia
47,2019-09-01,22,MLO-043 : MLO - West Virginia
48,2019-09-08,25,MLO-043 : MLO - West Virginia
49,2019-09-15,14,MLO-043 : MLO - West Virginia
50,2019-09-22,33,MLO-043 : MLO - West Virginia
51,2019-09-29,15,MLO-043 : MLO - West Virginia
52,2019-10-06,20,MLO-043 : MLO - West Virginia
53,2019-10-13,22,MLO-043 : MLO - West Virginia
54,2019-10-20,54,MLO-043 : MLO - West Virginia
55,2019-10-27,38,MLO-043 : MLO - West Virginia
56,2019-11-03,56,MLO-043 : MLO - West Virginia
57,2019-11-10,14,MLO-043 : MLO - West Virginia
58,2019-11-17,24,MLO-043 : MLO - West Virginia
59,2019-11-24,22,MLO-043 : MLO - West Virginia
60,2019-12-01,47,MLO-043 : MLO - West Virginia
61,2019-12-08,36,MLO-043 : MLO - West Virginia
62,2019-12-15,27,MLO-043 : MLO - West Virginia
63,2019-12-22,20,MLO-043 : MLO - West Virginia
64,2019-12-29,7,MLO-043 : MLO - West Virginia
65,2020-01-05,5,MLO-043 : MLO - West Virginia
66,2020-01-12,21,MLO-043 : MLO - West Virginia
67,2020-01-19,6,MLO-043 : MLO - West Virginia
68,2020-01-26,5,MLO-043 : MLO - West Virginia
69,2020-02-02,15,MLO-043 : MLO - West Virginia
70,2020-02-09,11,MLO-043 : MLO - West Virginia
71,2020-02-16,16,MLO-043 : MLO - West Virginia
72,2020-02-23,10,MLO-043 : MLO - West Virginia
73,2020-03-01,11,MLO-043 : MLO - West Virginia
74,2020-03-08,10,MLO-043 : MLO - West Virginia
75,2020-03-15,13,MLO-043 : MLO - West Virginia
76,2020-03-22,6,MLO-043 : MLO - West Virginia
77,2020-03-29,11,MLO-043 : MLO - West Virginia
78,2020-04-05,12,MLO-043 : MLO - West Virginia
79,2020-04-12,13,MLO-043 : MLO - West Virginia
80,2020-04-19,14,MLO-043 : MLO - West Virginia
81,2020-04-26,16,MLO-043 : MLO - West Virginia
82,2020-05-03,14,MLO-043 : MLO - West Virginia
83,2020-05-10,12,MLO-043 : MLO - West Virginia
84,2020-05-17,14,MLO-043 : MLO - West Virginia
85,2020-05-24,11,MLO-043 : MLO - West Virginia
86,2020-05-31,9,MLO-043 : MLO - West Virginia
87,2020-06-07,10,MLO-043 : MLO - West Virginia
88,2020-06-14,5,MLO-043 : MLO - West Virginia
89,2020-06-21,3,MLO-043 : MLO - West Virginia
90,2020-06-28,11,MLO-043 : MLO - West Virginia
91,2020-07-05,4,MLO-043 : MLO - West Virginia
92,2020-07-12,3,MLO-043 : MLO - West Virginia
93,2020-07-19,6,MLO-043 : MLO - West Virginia
94,2020-07-26,8,MLO-043 : MLO - West Virginia
95,2020-08-02,4,MLO-043 : MLO - West Virginia
96,2020-08-09,9,MLO-043 : MLO - West Virginia
97,2020-08-16,8,MLO-043 : MLO - West Virginia
98,2020-08-23,4,MLO-043 : MLO - West Virginia
99,2020-08-30,5,MLO-043 : MLO - West Virginia
100,2020-09-06,5,MLO-043 : MLO - West Virginia
101,2020-09-13,0,MLO-043 : MLO - West Virginia
102,2020-09-20,4,MLO-043 : MLO - West Virginia
103,2020-09-27,11,MLO-043 : MLO - West Virginia
104,2020-10-04,7,MLO-043 : MLO - West Virginia
105,2020-10-11,6,MLO-043 : MLO - West Virginia
106,2020-10-18,26,MLO-043 : MLO - West Virginia
107,2020-10-25,22,MLO-043 : MLO - West Virginia
108,2020-11-01,12,MLO-043 : MLO - West Virginia
109,2020-11-08,8,MLO-043 : MLO - West Virginia
110,2020-11-15,15,MLO-043 : MLO - West Virginia
111,2020-11-22,22,MLO-043 : MLO - West Virginia
112,2020-11-29,16,MLO-043 : MLO - West Virginia
113,2020-12-06,21,MLO-043 : MLO - West Virginia
114,2020-12-13,31,MLO-043 : MLO - West Virginia
115,2020-12-20,19,MLO-043 : MLO - West Virginia
116,2020-12-27,8,MLO-043 : MLO - West Virginia
117,2021-01-03,5,MLO-043 : MLO - West Virginia
118,2021-01-10,20,MLO-043 : MLO - West Virginia
119,2021-01-17,18,MLO-043 : MLO - West Virginia
120,2021-01-24,9,MLO-043 : MLO - West Virginia
121,2021-01-31,17,MLO-043 : MLO - West Virginia
122,2021-02-07,20,MLO-043 : MLO - West Virginia
123,2021-02-14,24,MLO-043 : MLO - West Virginia
124,2021-02-21,14,MLO-043 : MLO - West Virginia
125,2021-02-28,7,MLO-043 : MLO - West Virginia
126,2021-03-07,15,MLO-043 : MLO - West Virginia
