,date,Weekly_Count,Site Name
0,2018-10-07,19,MLO-500 : MLO - Cheshire
1,2018-10-14,20,MLO-500 : MLO - Cheshire
2,2018-10-21,23,MLO-500 : MLO - Cheshire
3,2018-10-28,33,MLO-500 : MLO - Cheshire
4,2018-11-04,27,MLO-500 : MLO - Cheshire
5,2018-11-11,43,MLO-500 : MLO - Cheshire
6,2018-11-18,22,MLO-500 : MLO - Cheshire
7,2018-11-25,19,MLO-500 : MLO - Cheshire
8,2018-12-02,27,MLO-500 : MLO - Cheshire
9,2018-12-09,18,MLO-500 : MLO - Cheshire
10,2018-12-16,16,MLO-500 : MLO - Cheshire
11,2018-12-23,13,MLO-500 : MLO - Cheshire
12,2018-12-30,9,MLO-500 : MLO - Cheshire
13,2019-01-06,10,MLO-500 : MLO - Cheshire
14,2019-01-13,17,MLO-500 : MLO - Cheshire
15,2019-01-20,7,MLO-500 : MLO - Cheshire
16,2019-01-27,8,MLO-500 : MLO - Cheshire
17,2019-02-03,6,MLO-500 : MLO - Cheshire
18,2019-02-10,11,MLO-500 : MLO - Cheshire
19,2019-02-17,4,MLO-500 : MLO - Cheshire
20,2019-02-24,8,MLO-500 : MLO - Cheshire
21,2019-03-03,11,MLO-500 : MLO - Cheshire
22,2019-03-10,5,MLO-500 : MLO - Cheshire
23,2019-03-17,10,MLO-500 : MLO - Cheshire
24,2019-03-24,12,MLO-500 : MLO - Cheshire
25,2019-03-31,7,MLO-500 : MLO - Cheshire
26,2019-04-07,8,MLO-500 : MLO - Cheshire
27,2019-04-14,5,MLO-500 : MLO - Cheshire
28,2019-04-21,1,MLO-500 : MLO - Cheshire
29,2019-04-28,10,MLO-500 : MLO - Cheshire
30,2019-05-05,11,MLO-500 : MLO - Cheshire
31,2019-05-12,10,MLO-500 : MLO - Cheshire
32,2019-05-19,7,MLO-500 : MLO - Cheshire
33,2019-05-26,7,MLO-500 : MLO - Cheshire
34,2019-06-02,7,MLO-500 : MLO - Cheshire
35,2019-06-09,6,MLO-500 : MLO - Cheshire
36,2019-06-16,4,MLO-500 : MLO - Cheshire
37,2019-06-23,7,MLO-500 : MLO - Cheshire
38,2019-06-30,4,MLO-500 : MLO - Cheshire
39,2019-07-07,5,MLO-500 : MLO - Cheshire
40,2019-07-14,5,MLO-500 : MLO - Cheshire
41,2019-07-21,8,MLO-500 : MLO - Cheshire
42,2019-07-28,10,MLO-500 : MLO - Cheshire
43,2019-08-04,7,MLO-500 : MLO - Cheshire
44,2019-08-11,3,MLO-500 : MLO - Cheshire
45,2019-08-18,2,MLO-500 : MLO - Cheshire
46,2019-08-25,8,MLO-500 : MLO - Cheshire
47,2019-09-01,7,MLO-500 : MLO - Cheshire
48,2019-09-08,13,MLO-500 : MLO - Cheshire
49,2019-09-15,6,MLO-500 : MLO - Cheshire
50,2019-09-22,7,MLO-500 : MLO - Cheshire
51,2019-09-29,4,MLO-500 : MLO - Cheshire
52,2019-10-06,9,MLO-500 : MLO - Cheshire
53,2019-10-13,6,MLO-500 : MLO - Cheshire
54,2019-10-20,10,MLO-500 : MLO - Cheshire
55,2019-10-27,30,MLO-500 : MLO - Cheshire
56,2019-11-03,40,MLO-500 : MLO - Cheshire
57,2019-11-10,12,MLO-500 : MLO - Cheshire
58,2019-11-17,6,MLO-500 : MLO - Cheshire
59,2019-11-24,20,MLO-500 : MLO - Cheshire
60,2019-12-01,19,MLO-500 : MLO - Cheshire
61,2019-12-08,21,MLO-500 : MLO - Cheshire
62,2019-12-15,14,MLO-500 : MLO - Cheshire
63,2019-12-22,12,MLO-500 : MLO - Cheshire
64,2019-12-29,12,MLO-500 : MLO - Cheshire
65,2020-01-05,8,MLO-500 : MLO - Cheshire
66,2020-01-12,17,MLO-500 : MLO - Cheshire
67,2020-01-19,5,MLO-500 : MLO - Cheshire
68,2020-01-26,10,MLO-500 : MLO - Cheshire
69,2020-02-02,5,MLO-500 : MLO - Cheshire
70,2020-02-09,9,MLO-500 : MLO - Cheshire
71,2020-02-16,5,MLO-500 : MLO - Cheshire
72,2020-02-23,5,MLO-500 : MLO - Cheshire
73,2020-03-01,6,MLO-500 : MLO - Cheshire
74,2020-03-08,10,MLO-500 : MLO - Cheshire
75,2020-03-15,3,MLO-500 : MLO - Cheshire
76,2020-03-22,9,MLO-500 : MLO - Cheshire
77,2020-03-29,5,MLO-500 : MLO - Cheshire
78,2020-04-05,8,MLO-500 : MLO - Cheshire
79,2020-04-12,4,MLO-500 : MLO - Cheshire
80,2020-04-19,9,MLO-500 : MLO - Cheshire
81,2020-04-26,12,MLO-500 : MLO - Cheshire
82,2020-05-03,7,MLO-500 : MLO - Cheshire
83,2020-05-10,10,MLO-500 : MLO - Cheshire
84,2020-05-17,5,MLO-500 : MLO - Cheshire
85,2020-05-24,5,MLO-500 : MLO - Cheshire
86,2020-05-31,5,MLO-500 : MLO - Cheshire
87,2020-06-07,4,MLO-500 : MLO - Cheshire
88,2020-06-14,2,MLO-500 : MLO - Cheshire
89,2020-06-21,2,MLO-500 : MLO - Cheshire
90,2020-06-28,2,MLO-500 : MLO - Cheshire
91,2020-07-05,3,MLO-500 : MLO - Cheshire
92,2020-07-12,3,MLO-500 : MLO - Cheshire
93,2020-07-19,2,MLO-500 : MLO - Cheshire
94,2020-07-26,6,MLO-500 : MLO - Cheshire
95,2020-08-02,2,MLO-500 : MLO - Cheshire
96,2020-08-09,4,MLO-500 : MLO - Cheshire
97,2020-08-16,3,MLO-500 : MLO - Cheshire
98,2020-08-23,5,MLO-500 : MLO - Cheshire
99,2020-08-30,6,MLO-500 : MLO - Cheshire
100,2020-09-06,2,MLO-500 : MLO - Cheshire
101,2020-09-13,2,MLO-500 : MLO - Cheshire
102,2020-09-20,5,MLO-500 : MLO - Cheshire
103,2020-09-27,6,MLO-500 : MLO - Cheshire
104,2020-10-04,0,MLO-500 : MLO - Cheshire
105,2020-10-11,4,MLO-500 : MLO - Cheshire
106,2020-10-18,6,MLO-500 : MLO - Cheshire
107,2020-10-25,6,MLO-500 : MLO - Cheshire
108,2020-11-01,6,MLO-500 : MLO - Cheshire
109,2020-11-08,7,MLO-500 : MLO - Cheshire
