,date,Weekly_Count,Site Name
0,2018-10-07,19,MLO-506 : MLO - Goodyear
1,2018-10-14,24,MLO-506 : MLO - Goodyear
2,2018-10-21,27,MLO-506 : MLO - Goodyear
3,2018-10-28,23,MLO-506 : MLO - Goodyear
4,2018-11-04,30,MLO-506 : MLO - Goodyear
5,2018-11-11,31,MLO-506 : MLO - Goodyear
6,2018-11-18,37,MLO-506 : MLO - Goodyear
7,2018-11-25,41,MLO-506 : MLO - Goodyear
8,2018-12-02,29,MLO-506 : MLO - Goodyear
9,2018-12-09,31,MLO-506 : MLO - Goodyear
10,2018-12-16,21,MLO-506 : MLO - Goodyear
11,2018-12-23,14,MLO-506 : MLO - Goodyear
12,2018-12-30,10,MLO-506 : MLO - Goodyear
13,2019-01-06,18,MLO-506 : MLO - Goodyear
14,2019-01-13,38,MLO-506 : MLO - Goodyear
15,2019-01-20,9,MLO-506 : MLO - Goodyear
16,2019-01-27,11,MLO-506 : MLO - Goodyear
17,2019-02-03,15,MLO-506 : MLO - Goodyear
18,2019-02-10,13,MLO-506 : MLO - Goodyear
19,2019-02-17,11,MLO-506 : MLO - Goodyear
20,2019-02-24,12,MLO-506 : MLO - Goodyear
21,2019-03-03,7,MLO-506 : MLO - Goodyear
22,2019-03-10,12,MLO-506 : MLO - Goodyear
23,2019-03-17,9,MLO-506 : MLO - Goodyear
24,2019-03-24,18,MLO-506 : MLO - Goodyear
25,2019-03-31,10,MLO-506 : MLO - Goodyear
26,2019-04-07,7,MLO-506 : MLO - Goodyear
27,2019-04-14,27,MLO-506 : MLO - Goodyear
28,2019-04-21,9,MLO-506 : MLO - Goodyear
29,2019-04-28,5,MLO-506 : MLO - Goodyear
30,2019-05-05,4,MLO-506 : MLO - Goodyear
31,2019-05-12,7,MLO-506 : MLO - Goodyear
32,2019-05-19,12,MLO-506 : MLO - Goodyear
33,2019-05-26,16,MLO-506 : MLO - Goodyear
34,2019-06-02,10,MLO-506 : MLO - Goodyear
35,2019-06-09,8,MLO-506 : MLO - Goodyear
36,2019-06-16,5,MLO-506 : MLO - Goodyear
37,2019-06-23,6,MLO-506 : MLO - Goodyear
38,2019-06-30,7,MLO-506 : MLO - Goodyear
39,2019-07-07,8,MLO-506 : MLO - Goodyear
40,2019-07-14,13,MLO-506 : MLO - Goodyear
41,2019-07-21,12,MLO-506 : MLO - Goodyear
42,2019-07-28,8,MLO-506 : MLO - Goodyear
43,2019-08-04,7,MLO-506 : MLO - Goodyear
44,2019-08-11,8,MLO-506 : MLO - Goodyear
45,2019-08-18,8,MLO-506 : MLO - Goodyear
46,2019-08-25,10,MLO-506 : MLO - Goodyear
47,2019-09-01,17,MLO-506 : MLO - Goodyear
48,2019-09-08,12,MLO-506 : MLO - Goodyear
49,2019-09-15,20,MLO-506 : MLO - Goodyear
50,2019-09-22,16,MLO-506 : MLO - Goodyear
51,2019-09-29,14,MLO-506 : MLO - Goodyear
52,2019-10-06,13,MLO-506 : MLO - Goodyear
53,2019-10-13,16,MLO-506 : MLO - Goodyear
54,2019-10-20,22,MLO-506 : MLO - Goodyear
55,2019-10-27,34,MLO-506 : MLO - Goodyear
56,2019-11-03,23,MLO-506 : MLO - Goodyear
57,2019-11-10,14,MLO-506 : MLO - Goodyear
58,2019-11-17,17,MLO-506 : MLO - Goodyear
59,2019-11-24,17,MLO-506 : MLO - Goodyear
60,2019-12-01,17,MLO-506 : MLO - Goodyear
61,2019-12-08,44,MLO-506 : MLO - Goodyear
62,2019-12-15,22,MLO-506 : MLO - Goodyear
63,2019-12-22,18,MLO-506 : MLO - Goodyear
64,2019-12-29,7,MLO-506 : MLO - Goodyear
65,2020-01-05,12,MLO-506 : MLO - Goodyear
66,2020-01-12,19,MLO-506 : MLO - Goodyear
67,2020-01-19,9,MLO-506 : MLO - Goodyear
68,2020-01-26,7,MLO-506 : MLO - Goodyear
69,2020-02-02,8,MLO-506 : MLO - Goodyear
70,2020-02-09,11,MLO-506 : MLO - Goodyear
71,2020-02-16,13,MLO-506 : MLO - Goodyear
72,2020-02-23,15,MLO-506 : MLO - Goodyear
73,2020-03-01,8,MLO-506 : MLO - Goodyear
74,2020-03-08,22,MLO-506 : MLO - Goodyear
75,2020-03-15,16,MLO-506 : MLO - Goodyear
76,2020-03-22,18,MLO-506 : MLO - Goodyear
77,2020-03-29,30,MLO-506 : MLO - Goodyear
78,2020-04-05,30,MLO-506 : MLO - Goodyear
79,2020-04-12,22,MLO-506 : MLO - Goodyear
80,2020-04-19,14,MLO-506 : MLO - Goodyear
81,2020-04-26,13,MLO-506 : MLO - Goodyear
82,2020-05-03,8,MLO-506 : MLO - Goodyear
83,2020-05-10,13,MLO-506 : MLO - Goodyear
84,2020-05-17,11,MLO-506 : MLO - Goodyear
85,2020-05-24,13,MLO-506 : MLO - Goodyear
86,2020-05-31,15,MLO-506 : MLO - Goodyear
87,2020-06-07,12,MLO-506 : MLO - Goodyear
88,2020-06-14,14,MLO-506 : MLO - Goodyear
89,2020-06-21,12,MLO-506 : MLO - Goodyear
90,2020-06-28,6,MLO-506 : MLO - Goodyear
91,2020-07-05,3,MLO-506 : MLO - Goodyear
92,2020-07-12,5,MLO-506 : MLO - Goodyear
93,2020-07-19,12,MLO-506 : MLO - Goodyear
94,2020-07-26,7,MLO-506 : MLO - Goodyear
95,2020-08-02,2,MLO-506 : MLO - Goodyear
96,2020-08-09,6,MLO-506 : MLO - Goodyear
97,2020-08-16,2,MLO-506 : MLO - Goodyear
98,2020-08-23,4,MLO-506 : MLO - Goodyear
99,2020-08-30,4,MLO-506 : MLO - Goodyear
100,2020-09-06,1,MLO-506 : MLO - Goodyear
101,2020-09-13,5,MLO-506 : MLO - Goodyear
102,2020-09-20,3,MLO-506 : MLO - Goodyear
103,2020-09-27,8,MLO-506 : MLO - Goodyear
104,2020-10-04,2,MLO-506 : MLO - Goodyear
105,2020-10-11,0,MLO-506 : MLO - Goodyear
106,2020-10-18,2,MLO-506 : MLO - Goodyear
107,2020-10-25,16,MLO-506 : MLO - Goodyear
108,2020-11-01,12,MLO-506 : MLO - Goodyear
109,2020-11-08,14,MLO-506 : MLO - Goodyear
110,2020-11-15,3,MLO-506 : MLO - Goodyear
111,2020-11-22,14,MLO-506 : MLO - Goodyear
112,2020-11-29,18,MLO-506 : MLO - Goodyear
113,2020-12-06,22,MLO-506 : MLO - Goodyear
114,2020-12-13,18,MLO-506 : MLO - Goodyear
115,2020-12-20,13,MLO-506 : MLO - Goodyear
116,2020-12-27,7,MLO-506 : MLO - Goodyear
117,2021-01-03,5,MLO-506 : MLO - Goodyear
118,2021-01-10,8,MLO-506 : MLO - Goodyear
119,2021-01-17,3,MLO-506 : MLO - Goodyear
120,2021-01-24,2,MLO-506 : MLO - Goodyear
121,2021-01-31,2,MLO-506 : MLO - Goodyear
122,2021-02-07,12,MLO-506 : MLO - Goodyear
123,2021-02-14,13,MLO-506 : MLO - Goodyear
124,2021-02-21,6,MLO-506 : MLO - Goodyear
125,2021-02-28,6,MLO-506 : MLO - Goodyear
126,2021-03-07,13,MLO-506 : MLO - Goodyear
127,2021-03-14,7,MLO-506 : MLO - Goodyear
128,2021-03-21,9,MLO-506 : MLO - Goodyear
129,2021-03-28,16,MLO-506 : MLO - Goodyear
130,2021-04-04,36,MLO-506 : MLO - Goodyear
131,2021-04-11,10,MLO-506 : MLO - Goodyear
132,2021-04-18,21,MLO-506 : MLO - Goodyear
133,2021-04-25,10,MLO-506 : MLO - Goodyear
134,2021-05-02,20,MLO-506 : MLO - Goodyear
135,2021-05-09,19,MLO-506 : MLO - Goodyear
